sample,version,label,final_verdict,final_is_malicious,final_is_flagged,dyn_verdict,dyn_is_malicious,static_verdict,static_is_malicious,invisible_unicode,decided_by
QuantumCodeLabs.ayu-theme,1.0.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
QuantumCodeLabs.darky-ai,1.0.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
QuantumCodeLabs.dracula-pro-theme,1.0.0,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
QuantumCodeLabs.qoodo-ai-assistant,1.0.0,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
RabobankAI.rabobank-code-assistant,0.5.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
SFRA-FAKA.sfra-toolkit,0.0.2,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
ShowSnowcrypto.SnowShoNo,0.6.0,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
SmartContractAI.solaibot,1.4.2,1,SUSPICIOUS,0,1,SUSPICIOUS,0,BENIGN,0,0,dynamic
SoliditFoundation.solidit-language,0.0.1,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
StefanYosif.axion-ai,1.0.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
TechSolutionsPro.bitcoin-cake-theme,1.0.0,1,SUSPICIOUS,0,1,SUSPICIOUS,0,BENIGN,0,0,dynamic
VSAnalysistest.code-ai-assistant,0.0.2,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
VSAnalysistest.codegpt-helper,0.0.2,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
Vitalik-Buterin.soli-extensio,0.0.9,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
VitalikButerin-EthFoundation.blan-co,0.0.8,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
Vsceue.volar-vscode,3.1.6,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
WEB3Foundation.cxzczxcxz,0.2.2,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
WhenSunset.chatgpt-china,9.5.3,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
